rankx   flowid   timex
100000000   0   1940
10000000   2   2900
50000000   1   3860
99999999   0   5860
9999999   2   6820
49999999   1   7780
99990339   0   28900
9990339   2   40900
9988959   2   52900
9987579   2   64900
9986199   2   76900
9984819   2   88900
9983439   2   100900
49983439   1   112900
9982059   2   124900
9980679   2   136900
9979299   2   148900
9977919   2   160900
9991719   2   172900
9993099   2   184900
9994479   2   196900
9995859   2   208900
9997239   2   220900
9998619   2   232900
9999999   2   244900
9999999   2   256900
49984819   1   268900
9976539   2   280900
9975159   2   292900
9973779   2   304900
9972399   2   316900
9971019   2   328900
9969639   2   340900
9968259   2   352900
9966879   2   364900
9965499   2   376900
9964119   2   388900
9962739   2   400900
9961359   2   412900
9959979   2   424900
9958599   2   436900
9957219   2   448900
9955839   2   460900
9954459   2   472900
9953079   2   484900
9951699   2   496900
9950319   2   508900
9948939   2   520900
9947559   2   532900
9946179   2   544900
9943419   2   556900
9940659   2   568900
9937899   2   580900
9936519   2   592900
9935139   2   604900
9933759   2   616900
9932379   2   628900
9930999   2   640900
9929619   2   652900
9928239   2   664900
9926859   2   676900
9925479   2   688900
9924099   2   700900
9922719   2   712900
9921339   2   724900
9919959   2   736900
9918579   2   748900
9917199   2   760900
9915819   2   772900
9914439   2   784900
9913059   2   796900
9911679   2   808900
9910299   2   820900
9908919   2   832900
9907539   2   844900
9906159   2   856900
9904779   2   868900
9903399   2   880900
9902019   2   892900
9900639   2   904900
9899259   2   916900
9897879   2   928900
9896499   2   940900
9895119   2   952900
9893739   2   964900
9892359   2   976900
9890979   2   988900
9889599   2   1000900
9888219   2   1012900
9886839   2   1024900
9885459   2   1036900
9884079   2   1048900
9882699   2   1060900
9881319   2   1072900
9944799   2   1084900
49982059   1   1096900
49980679   1   1108900
9942039   2   1120900
9879939   2   1132900
9878559   2   1144900
9877179   2   1156900
9875799   2   1168900
9939279   2   1180900
49979299   1   1192900
49977919   1   1204900
9874419   2   1216900
9873039   2   1228900
9871659   2   1240900
9870279   2   1252900
9868899   2   1264900
9867519   2   1276900
9866139   2   1288900
9864759   2   1300900
9863379   2   1312900
9861999   2   1324900
9860619   2   1336900
9859239   2   1348900
9857859   2   1360900
9856479   2   1372900
9855099   2   1384900
9853719   2   1396900
9852339   2   1408900
9850959   2   1420900
9849579   2   1432900
9848199   2   1444900
9846819   2   1456900
9845439   2   1468900
9844059   2   1480900
9842679   2   1492900
9841299   2   1504900
9839919   2   1516900
9838539   2   1528900
9837159   2   1540900
9835779   2   1552900
9834399   2   1564900
9833019   2   1576900
9831639   2   1588900
9830259   2   1600900
9828879   2   1612900
9827499   2   1624900
9826119   2   1636900
9824739   2   1648900
9823359   2   1660900
9821979   2   1672900
9820599   2   1684900
9819219   2   1696900
9817839   2   1708900
9816459   2   1720900
9815079   2   1732900
9813699   2   1744900
9812319   2   1756900
9810939   2   1768900
9809559   2   1780900
9808179   2   1792900
9806799   2   1804900
9805419   2   1816900
9804039   2   1828900
9802659   2   1840900
